architecture,metric,n_runs,n_total_points,sigma,all_mean,all_sample_std,cutoff,n_outliers,outlier_fraction,mean_outlier_error,outlier_sample_std,mean_excess_over_cutoff,max_outlier_error
L4N3,energy_rmse,6,480000,7.0,0.21285012905923262,0.3128703405695956,2.4029425130464017,957,0.00199375,3.45653327181546,2.333770806318196,1.053590758769059,62.61231994628906
L4N3,energy_rmse,6,480000,8.0,0.21285012905923262,0.3128703405695956,2.7158128536159976,641,0.0013354166666666666,3.904926093617765,2.7426071053075645,1.1891132400017677,62.61231994628906
L4N3,energy_rmse,6,480000,9.0,0.21285012905923262,0.3128703405695956,3.0286831941855934,422,0.0008791666666666667,4.442841406682091,3.2529211347310407,1.4141582124964982,62.61231994628906
L4N3,energy_rmse,6,480000,10.0,0.21285012905923262,0.3128703405695956,3.341553534755189,318,0.0006625,4.853421936994828,3.6557081596130367,1.5118684022396396,62.61231994628906
L4N3,force_mae,6,480000,2.0,0.6235365425018274,0.9935041332641652,2.610544809030158,12279,0.02558125,4.270500853990781,4.097248312390449,1.659956044960623,326.13772239685056
L4N3,force_mae,6,480000,3.0,0.6235365425018274,0.9935041332641652,3.604048942294323,5644,0.011758333333333334,5.726612996544576,5.70173023066489,2.1225640542502524,326.13772239685056
L4N3,force_mae,6,480000,4.0,0.6235365425018274,0.9935041332641652,4.597553075558488,3019,0.006289583333333334,7.194293435467198,7.489038344615762,2.5967403599087104,326.13772239685056
L4N3,force_mae,6,480000,5.0,0.6235365425018274,0.9935041332641652,5.591057208822654,1768,0.003683333333333333,8.721390536853265,9.492344779624622,3.130333328030612,326.13772239685056
L4N3,force_mae,6,480000,6.0,0.6235365425018274,0.9935041332641652,6.584561342086818,1097,0.0022854166666666665,10.355826455607344,11.754705148576697,3.771265113520527,326.13772239685056
L4N3,force_mae,6,480000,7.0,0.6235365425018274,0.9935041332641652,7.578065475350983,725,0.0015104166666666666,12.06988630320286,14.15805406920014,4.491820827851876,326.13772239685056
L4N3,force_mae,6,480000,8.0,0.6235365425018274,0.9935041332641652,8.57156960861515,508,0.0010583333333333334,13.799109676808822,16.619350355177104,5.227540068193673,326.13772239685056
L4N3,force_mae,6,480000,9.0,0.6235365425018274,0.9935041332641652,9.565073741879315,363,0.00075625,15.713040198099735,19.337459589307365,6.14796645622042,326.13772239685056
L4N3,force_mae,6,480000,10.0,0.6235365425018274,0.9935041332641652,10.558577875143481,272,0.0005666666666666667,17.615045849628306,22.022638717426904,7.056467974484827,326.13772239685056
L4N3,force_rmse,6,480000,2.0,0.8012020926748781,1.3548918530139997,3.5109857987028774,11354,0.023654166666666667,5.761835055270666,6.083322679082566,2.250849256567789,486.9633026656726
L4N3,force_rmse,6,480000,3.0,0.8012020926748781,1.3548918530139997,4.865877651716878,5222,0.010879166666666667,7.734992404304528,8.549170400015324,2.8691147525876493,486.9633026656726
L4N3,force_rmse,6,480000,4.0,0.8012020926748781,1.3548918530139997,6.220769504730877,2728,0.005683333333333334,9.830502044473636,11.427925532270137,3.609732539742759,486.9633026656726
L4N3,force_rmse,6,480000,5.0,0.8012020926748781,1.3548918530139997,7.575661357744877,1597,0.0033270833333333334,11.95269417466392,14.565979226209945,4.377032816919042,486.9633026656726
L4N3,force_rmse,6,480000,6.0,0.8012020926748781,1.3548918530139997,8.930553210758877,972,0.002025,14.368219617450283,18.267747931291343,5.437666406691406,486.9633026656726
L4N3,force_rmse,6,480000,7.0,0.8012020926748781,1.3548918530139997,10.285445063772876,659,0.0013729166666666666,16.66183019442154,21.81777782712682,6.376385130648664,486.9633026656726
L4N3,force_rmse,6,480000,8.0,0.8012020926748781,1.3548918530139997,11.640336916786875,460,0.0009583333333333333,19.127780732569875,25.732147746437715,7.487443815783002,486.9633026656726
