run_label,architecture,seed,source_file,metric_column,std_threshold,iteration,n_before,mean,sample_std,threshold,n_removed
L3N4 seed 101,L3N4,101,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed101_task4_per_point.csv,force_mae,3.0,10,71309,0.38579331789566274,0.25493592455250247,1.1506010915531701,137
L3N4 seed 202,L3N4,202,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed202_task5_per_point.csv,force_mae,3.0,1,80000,0.6539855536744487,5.326287525721388,16.632848130838614,13
L3N4 seed 202,L3N4,202,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed202_task5_per_point.csv,force_mae,3.0,2,79987,0.6317233255198825,0.7898452689724201,3.001259132437143,1501
L3N4 seed 202,L3N4,202,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed202_task5_per_point.csv,force_mae,3.0,3,78486,0.5546218704342281,0.49630778848705476,2.043545235895392,2000
L3N4 seed 202,L3N4,202,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed202_task5_per_point.csv,force_mae,3.0,4,76486,0.5056205790340508,0.3958476469498032,1.6931635198834605,1582
L3N4 seed 202,L3N4,202,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed202_task5_per_point.csv,force_mae,3.0,5,74904,0.47705422372037354,0.346899957680455,1.5177540967617387,1153
L3N4 seed 202,L3N4,202,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed202_task5_per_point.csv,force_mae,3.0,6,73751,0.45947580415373,0.319543350986342,1.418105857112756,770
L3N4 seed 202,L3N4,202,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed202_task5_per_point.csv,force_mae,3.0,7,72981,0.44884579728098695,0.30389650636578713,1.3605353163783485,518
L3N4 seed 202,L3N4,202,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed202_task5_per_point.csv,force_mae,3.0,8,72463,0.4421272408888129,0.29436655353101737,1.325226901481865,360
L3N4 seed 202,L3N4,202,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed202_task5_per_point.csv,force_mae,3.0,9,72103,0.43762691345027116,0.2881094784493809,1.3019553487984137,253
L3N4 seed 202,L3N4,202,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed202_task5_per_point.csv,force_mae,3.0,10,71850,0.43454068548425967,0.2838743774734468,1.2861638179046,183
L3N5 seed 0,L3N5,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed0_task3_per_point.csv,force_mae,3.0,1,80000,0.7222488466519684,0.960911105703023,3.6049821637610373,1205
L3N5 seed 0,L3N5,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed0_task3_per_point.csv,force_mae,3.0,2,78795,0.6448141275752628,0.5740931846360521,2.3670936814834187,1985
L3N5 seed 0,L3N5,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed0_task3_per_point.csv,force_mae,3.0,3,76810,0.5876918514216528,0.4532553249433442,1.9474578262516853,1609
L3N5 seed 0,L3N5,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed0_task3_per_point.csv,force_mae,3.0,4,75201,0.5544751632217788,0.39604909158949475,1.742622437990263,1170
L3N5 seed 0,L3N5,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed0_task3_per_point.csv,force_mae,3.0,5,74031,0.5341833252933005,0.3644344289633771,1.6274866121834317,795
L3N5 seed 0,L3N5,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed0_task3_per_point.csv,force_mae,3.0,6,73236,0.5216980500663223,0.3460146682095074,1.5597420546948446,568
L3N5 seed 0,L3N5,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed0_task3_per_point.csv,force_mae,3.0,7,72668,0.5133265503052318,0.33409996302793815,1.5156264393890462,381
L3N5 seed 0,L3N5,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed0_task3_per_point.csv,force_mae,3.0,8,72287,0.5079283011583218,0.3265762929921145,1.4876571801346652,267
