run_label,architecture,seed,source_file,metric_column,n_csv_rows,n_usable_raw,n_retained,n_removed,removed_fraction,raw_mean,raw_sample_std,raw_median,raw_q1,raw_q3,raw_min,raw_max,retained_mean,retained_sample_std,retained_median,retained_q1,retained_q3,retained_min,retained_max
L3N5 seed 42,L3N5,42,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed42_task0_per_point.csv,force_rmse,80000,80000,78662,1338,0.016725,0.7763728265238862,1.0743564989113195,0.46635185551241853,0.26571661417012254,0.882700700532155,0.0400209465237158,66.37575037305601,0.6829121040927805,0.6444994543234783,0.45782883706036964,0.26306923225008516,0.8509925897110697,0.0400209465237158,3.998816820411091
L3N5 seed 1776,L3N5,1776,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1776_task1_per_point.csv,force_rmse,80000,80000,79997,3,3.75e-05,0.8445330250675972,11.79982220048153,0.47802224752097056,0.2750988497693028,0.9047793565305785,0.0298951273978228,3185.393615054313,0.7918709615890726,1.0492496934242599,0.4779745565670041,0.2750969221314898,0.9047342804160492,0.0298951273978228,33.348349807320204
L4N3 seed 7,L4N3,7,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed7_task2_per_point.csv,force_rmse,80000,80000,78652,1348,0.01685,0.7753723255357129,1.0564935853803457,0.460930001745545,0.2633491990983282,0.8830272659567238,0.0288212454021648,50.09047381752151,0.6815629095973665,0.6439140630670476,0.4519287629018551,0.2607603270688928,0.8489338175012928,0.0288212454021648,3.9425650554361287
L4N3 seed 42,L4N3,42,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed42_task0_per_point.csv,force_rmse,80000,80000,79652,348,0.00435,0.809886800124928,2.047969306208862,0.48202373321470715,0.27628939036870914,0.9150266467363962,0.0365534372707093,486.9633026656726,0.7612754731096038,0.826408860621825,0.4797202528330641,0.2755541287293897,0.9050316541586186,0.0365534372707093,6.941971583583659
L4N3 seed 101,L4N3,101,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed101_task3_per_point.csv,force_rmse,80000,80000,78723,1277,0.0159625,0.8257259389713092,1.1601534754277159,0.49472818448742417,0.28168237055824896,0.9432714152956944,0.0398098783797071,103.36672337172006,0.7297183855965617,0.693455562507938,0.4860877165099207,0.27903662377423816,0.9095543846798158,0.0398098783797071,4.303974450490907
L4N3 seed 202,L4N3,202,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed202_task4_per_point.csv,force_rmse,80000,80000,78994,1006,0.012575,0.7987275902263791,1.2491149539856543,0.47952587677147995,0.2733293560239907,0.9086581731117785,0.0426550141957283,175.72073603355872,0.7156643595250414,0.6957627197455936,0.4728885334794027,0.27126943970882766,0.8823379478788607,0.0426550141957283,4.5428766663783655
L4N3 seed 303,L4N3,303,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed303_task5_per_point.csv,force_rmse,80000,80000,78665,1335,0.0166875,0.8081150269731313,1.0942569696426558,0.4855259819158265,0.28030538973691144,0.9211336652485871,0.031480139836233,58.85059608692058,0.7110377627541347,0.6650069547370353,0.4767355552411049,0.2774822704224277,0.8873990202696161,0.031480139836233,4.090037273982357
L4N3 seed 1776,L4N3,1776,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed1776_task1_per_point.csv,force_rmse,80000,80000,78998,1002,0.012525,0.7893848742178087,1.2645035356073908,0.4695176990119525,0.2671326774824332,0.8969026202510623,0.0288246781425481,171.816428340269,0.705898877313133,0.6914478516865036,0.46309856589239184,0.26524967144478034,0.8714035578351362,0.0288246781425481,4.577930544826039
L4N4 seed 0,L4N4,0,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed0_task6_per_point.csv,force_rmse,80000,80000,78751,1249,0.0156125,0.6998088506690505,1.0027711299909015,0.41086693331462387,0.23852286858830138,0.7888040680032076,0.0302308935050781,62.54296158067261,0.6152998602413281,0.5922316372004656,0.4043438331447513,0.2363783745240991,0.7597446701174211,0.0302308935050781,3.708035928845003
L4N4 seed 7,L4N4,7,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed7_task7_per_point.csv,force_rmse,80000,80000,78864,1136,0.0142,0.7121068102430937,1.0548637193503148,0.42456603491857176,0.2424632396360384,0.8033452786547772,0.0284128157338981,96.1626373967728,0.6303518316374893,0.6073856124115286,0.41807934052109624,0.24045672975349824,0.7778538923495971,0.0284128157338981,3.876228341185845
L4N4 seed 42,L4N4,42,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed42_task8_per_point.csv,force_rmse,80000,80000,79191,809,0.0101125,0.7284919982471453,1.294255059768757,0.4283437771954886,0.24417425078848248,0.8208493209472203,0.0284912722645766,223.1200374064969,0.6588195073725673,0.6682990698770507,0.4230729844901968,0.2424317333435187,0.8004306870183344,0.0284912722645766,4.609349582355398
L4N4 seed 1776,L4N4,1776,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed1776_task9_per_point.csv,force_rmse,80000,80000,79839,161,0.0020125,0.7028454213925167,2.376875554184212,0.4126488855918755,0.23563155396761057,0.7841616479754714,0.0345366596241634,609.9010931971195,0.6712133517382193,0.7783168758664861,0.4115868176142314,0.23527148988121177,0.7809692816350475,0.0345366596241634,7.799019788905257
