subset,metric,direction,rank,source_index,target_energy,max_target_atomic_force,h_planarity_ratio,in_high_force,in_high_energy,in_planar,l3n4_median_error,l3n5_median_error,l3n5_minus_l3n4
high_force,energy_abs_error,largest_l3n5_regression,6,3860115,444.4144287109375,3317.227795571614,0.27526969359458425,True,True,False,1.6337890625,3.442352294921875,1.808563232421875
high_force,energy_abs_error,largest_l3n5_regression,7,5797494,22.61484146118164,976.2206426532124,0.12314779530038678,True,False,False,1.56304931640625,3.359203338623047,1.7961540222167969
high_force,energy_abs_error,largest_l3n5_regression,8,7559705,218.34030151367188,1823.7514278924675,0.018762713083134975,True,True,True,0.487152099609375,2.1893310546875,1.702178955078125
high_force,energy_abs_error,largest_l3n5_regression,9,6192544,87.9297866821289,554.4719859081271,0.08872579862094872,True,True,False,2.1141891479492188,3.7306251525878906,1.6164360046386719
high_force,energy_abs_error,largest_l3n5_regression,10,7182208,-25.189006805419922,535.9710925000244,0.05694197424197192,True,False,False,1.333756446838379,2.9344329833984375,1.6006765365600586
high_force,energy_abs_error,largest_l3n5_regression,11,3959842,357.10150146484375,3253.018564926947,0.10301902135557818,True,True,False,2.80487060546875,4.363128662109375,1.558258056640625
high_force,energy_abs_error,largest_l3n5_regression,12,4003634,894.2456665039062,4363.342247016245,0.11125618049547059,True,True,False,1.64996337890625,3.19342041015625,1.54345703125
high_force,energy_abs_error,largest_l3n5_regression,13,4062509,386.6946105957031,2537.6449957515183,0.33966550621488534,True,True,False,0.626312255859375,2.150787353515625,1.52447509765625
high_force,energy_abs_error,largest_l3n5_regression,14,4306043,181.05482482910156,649.7699998825456,0.15670404129821106,True,True,False,0.9331283569335938,2.4340133666992188,1.500885009765625
high_force,energy_abs_error,largest_l3n5_regression,15,7154162,551.7584228515625,3929.069287602201,0.36431874840628536,True,True,False,0.81964111328125,2.218841552734375,1.399200439453125
high_force,energy_abs_error,largest_l3n5_regression,16,4743329,69.5481185913086,870.2618248487794,0.054200987271438926,True,True,False,0.9702606201171875,2.264698028564453,1.2944374084472656
high_force,energy_abs_error,largest_l3n5_regression,17,3655899,202.0066375732422,1668.6722021937894,0.00826049343861809,True,True,True,1.1987762451171875,2.4761886596679688,1.2774124145507812
high_force,energy_abs_error,largest_l3n5_regression,18,5783662,321.6359558105469,2633.153464752796,0.13368478254288613,True,True,False,1.7623443603515625,3.0393218994140625,1.2769775390625
high_force,energy_abs_error,largest_l3n5_regression,19,7186912,-28.842803955078125,574.6419725514646,0.09312606143052797,True,False,False,0.7327327728271484,1.9944229125976562,1.2616901397705078
high_force,energy_abs_error,largest_l3n5_regression,20,6063503,-54.58428192138672,505.6486739269703,0.02351442131086386,True,False,True,1.5769691467285156,2.8055152893066406,1.228546142578125
