condition,subset,architecture,seed,run_file,n_molecules,energy_mae,energy_rmse,force_mae,force_rmse
single_point_removed,high_force,L3N4,1,l3_n4_d1000000_seed1_task1_per_point.npz,12000,0.39954074114561083,0.6433489017816254,1.2631195572476006,2.543242707850919
single_point_removed,high_force,L3N4,202,l3_n4_d1000000_seed202_task5_per_point.npz,12000,0.4803361012491708,3.036678660185723,1.4770014075875904,19.73908659123939
single_point_removed,high_force,L3N4,42,l3_n4_d1000000_seed42_task3_per_point.npz,12000,0.45810187426306465,0.7417585775552221,1.3737568118440866,2.7900752268659623
single_point_removed,high_force,L3N4,7,l3_n4_d1000000_seed7_task2_per_point.npz,12000,0.4000723860282451,0.6440749677076462,1.2581838252090953,2.596774136510607
single_point_removed,high_force,L3N5,0,l3_n5_d1000000_seed0_task3_per_point.npz,12000,0.5227302262143543,0.8425994126711438,1.5482556592429575,3.172209913197685
single_point_removed,high_force,L3N5,1776,l3_n5_d1000000_seed1776_task1_per_point.npz,12000,0.42535073155971864,0.7799719134152592,1.4990535195412114,29.202189129444754
single_point_removed,high_force,L3N5,1,l3_n5_d1000000_seed1_task4_per_point.npz,12000,0.4050575595910971,0.6467457869823375,1.2864088121368913,2.555345727692707
single_point_removed,high_force,L3N5,2,l3_n5_d1000000_seed2_task5_per_point.npz,12000,0.5157063943392908,0.8104781884002064,1.4702641431805006,3.0740181625224663
single_point_removed,high_force,L3N5,3,l3_n5_d1000000_seed3_task6_per_point.npz,12000,0.3986936640046382,0.6429475992242751,1.3053630880753897,6.103995801853406
single_point_removed,high_force,L3N5,42,l3_n5_d1000000_seed42_task0_per_point.npz,12000,0.40906784307366856,0.6567873154158992,1.2898141837879498,2.5850123753547285
single_point_removed,high_force,L3N5,4,l3_n5_d1000000_seed4_task7_per_point.npz,12000,0.4021937045312176,0.663294213219318,1.290138441294222,2.714103561671626
single_point_removed,high_force,L3N5,7,l3_n5_d1000000_seed7_task2_per_point.npz,12000,0.42589784049149604,0.683396907311396,1.3541441148260402,2.753164439193802
single_point_removed,high_energy,L3N4,0,l3_n4_d1000000_seed0_task0_per_point.npz,11999,0.22980623287363383,0.48143462021539474,0.7217649575789653,2.083446146458305
single_point_removed,high_energy,L3N4,101,l3_n4_d1000000_seed101_task4_per_point.npz,11999,0.22912211131628318,0.4762444583973735,0.7145377687845357,2.020203633459627
single_point_removed,high_energy,L3N4,1,l3_n4_d1000000_seed1_task1_per_point.npz,11999,0.23689932942002978,0.5136309884590445,0.7774768963904494,6.603051480624762
single_point_removed,high_energy,L3N4,202,l3_n4_d1000000_seed202_task5_per_point.npz,11999,0.2945249999242084,2.9992101215322795,0.9040823580252176,19.677559521585856
single_point_removed,high_energy,L3N4,42,l3_n4_d1000000_seed42_task3_per_point.npz,11999,0.27085953591734047,0.5719638750779186,0.7907603061938389,2.2332208476272686
single_point_removed,high_energy,L3N4,7,l3_n4_d1000000_seed7_task2_per_point.npz,11999,0.2359898555516223,0.48045668248050516,0.7273629051748233,2.0860883491586844
single_point_removed,high_energy,L3N5,0,l3_n5_d1000000_seed0_task3_per_point.npz,11999,0.3091847429037869,0.6090039279318884,0.890416466950362,2.438453712145913
single_point_removed,high_energy,L3N5,1776,l3_n5_d1000000_seed1776_task1_per_point.npz,11999,0.2500710012475812,0.6332759109931739,0.9421556615465311,29.157458277572967
single_point_removed,high_energy,L3N5,1,l3_n5_d1000000_seed1_task4_per_point.npz,11999,0.24077474646731628,0.4829162919865941,0.7394494204837808,2.0049389191035485
