metric,architecture,seed,run_label,source_file,n_points,mean,sample_std,n_ge_outlier_sigma,n_ge_3std,n_ge_5std,n_ge_10std,worst_source_index,worst_error,worst_sigma
force_mae,L3N5,42,L3N5 s42,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed42_task0_per_point.csv,80000,0.6043628579591266,0.8174316522323556,2713,1344,421,69,3587886,50.2131711324056,60.68863144578249
force_mae,L3N5,1776,L3N5 s1776,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1776_task1_per_point.csv,80000,0.653152918197432,8.15478215671311,11,3,3,2,5550185,2180.0273310343423,267.251060326861
force_mae,L4N3,7,L4N3 s7,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed7_task2_per_point.csv,80000,0.6039136420403755,0.8098434971357961,2745,1351,440,77,6266598,43.548957697550456,53.028818787081
force_mae,L4N3,42,L4N3 s42,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed42_task0_per_point.csv,80000,0.6298982761745554,1.4334129704384087,1049,417,118,12,7508701,326.13772239685056,227.0858648789257
force_mae,L4N3,101,L4N3 s101,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed101_task3_per_point.csv,80000,0.6427452117045079,0.8778280344541138,2699,1312,431,59,3937730,69.58984718322753,78.54283443385181
force_mae,L4N3,202,L4N3 s202,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed202_task4_per_point.csv,80000,0.6214379529677566,0.9268021611690631,2262,1066,357,52,3628756,120.51460447311402,129.36219998550035
force_mae,L4N3,303,L4N3 s303,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed303_task5_per_point.csv,80000,0.6292387607715947,0.834900009313988,2753,1344,459,71,6266598,45.132344563802086,53.30351575824912
force_mae,L4N3,1776,L4N3 s1776,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed1776_task1_per_point.csv,80000,0.6139854113521747,0.9403830321703833,2199,1027,330,60,7508701,116.72664111455282,123.47378858507814
force_mae,L4N4,0,L4N4 s0,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed0_task6_per_point.csv,80000,0.5445171628077453,0.7618457140108997,2615,1284,433,87,6266598,43.53424237569173,56.428387562299704
force_mae,L4N4,7,L4N4 s7,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed7_task7_per_point.csv,80000,0.5533003617275281,0.7874632206834159,2466,1198,399,78,6266598,59.02394828796387,74.2519096644176
force_mae,L4N4,42,L4N4 s42,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed42_task8_per_point.csv,80000,0.5667680229394589,0.9724470045362181,1852,829,265,45,3937730,162.48036575317383,166.50120466714236
