metric,source_index,architecture,seed,run_label,error,run_mean,run_sample_std,std_above_run_mean,is_ge_outlier_sigma
abs_energy_error,3673855,L4N4,0,L4N4 s0,0.2074794769287109,0.183090003550495,0.2584556041364583,0.09436620056935908,False
abs_energy_error,3673855,L4N4,7,L4N4 s7,0.301666259765625,0.18390466804380995,0.2669865535328786,0.4410768638478007,False
abs_energy_error,3673855,L4N4,42,L4N4 s42,0.3074970245361328,0.18831727622949984,0.2736557746567752,0.4355097145532949,False
abs_energy_error,3673855,L4N4,1776,L4N4 s1776,0.1859683990478515,0.18196098293097457,0.4122309731652796,0.009721288252812113,False
abs_energy_error,7140304,L3N4,0,L3N4 s0,0.1781692504882812,0.1997303498080699,0.2806366299242564,-0.07682924116359299,False
abs_energy_error,7140304,L3N4,1,L3N4 s1,19.704620361328125,0.20599446008317174,0.2949561794406318,66.10685674808721,True
abs_energy_error,7140304,L3N4,7,L3N4 s7,0.3615570068359375,0.20470212453629938,0.30088395537312074,0.5213135479594624,False
abs_energy_error,7140304,L3N4,42,L3N4 s42,0.0744400024414062,0.265648224465159,10.080732926707148,-0.01896769048579592,False
abs_energy_error,7140304,L3N4,101,L3N4 s101,0.0324935913085937,0.19947978295959182,0.28335871310257266,-0.5893102415049118,False
abs_energy_error,7140304,L3N4,202,L3N4 s202,0.5515365600585938,0.23565154646359734,1.184069195510051,0.26677918384569194,False
abs_energy_error,7140304,L3N5,0,L3N5 s0,0.2065353393554687,0.27910872991609503,0.36418024682675726,-0.19927876701986513,False
abs_energy_error,7140304,L3N5,1,L3N5 s1,0.2990646362304687,0.20622627334078425,0.2853231740266558,0.3253796793982503,False
abs_energy_error,7140304,L3N5,2,L3N5 s2,0.1429595947265625,0.2711846569232875,0.3596966094728214,-0.35648115333823766,False
abs_energy_error,7140304,L3N5,3,L3N5 s3,0.2901229858398437,0.21322648383491905,2.6399977202385,0.02912748803357972,False
abs_energy_error,7140304,L3N5,4,L3N5 s4,0.3380126953125,0.2038352158157795,0.2931835987286264,0.4576568405551105,False
abs_energy_error,7140304,L3N5,7,L3N5 s7,0.5773849487304688,0.21562233584981877,0.4545444467777628,0.7958795128730811,False
abs_energy_error,7140304,L3N5,42,L3N5 s42,0.4835739135742187,0.2081716774016153,0.28944413527122254,0.9514866691444233,False
abs_energy_error,7140304,L3N5,1776,L3N5 s1776,0.0986251831054687,0.21555212002652696,0.3658846474755826,-0.3195732254080473,False
abs_energy_error,7140304,L4N3,7,L4N3 s7,0.5150146484375,0.20703997271741972,0.2962906576587127,1.039434311407908,False
abs_energy_error,7140304,L4N3,42,L4N3 s42,0.3672103881835937,0.21443938535493218,0.29780571820573154,0.5129888161620978,False
abs_energy_error,7140304,L4N3,101,L4N3 s101,0.4929885864257812,0.2188547617257631,0.3064262554889219,0.894615979504174,False
abs_energy_error,7140304,L4N3,202,L4N3 s202,0.4294509887695312,0.21289867895157077,0.36873983530476245,0.5872766896448293,False
abs_energy_error,7140304,L4N3,303,L4N3 s303,0.33013916015625,0.21497051230372163,0.30262715640676385,0.38056283256261764,False
abs_energy_error,7140304,L4N3,1776,L4N3 s1776,0.2497100830078125,0.20889746330198833,0.2988562265460486,0.1365627217391626,False
abs_energy_error,7140304,L4N4,0,L4N4 s0,0.1249160766601562,0.183090003550495,0.2584556041364583,-0.22508286127014834,False
abs_energy_error,7140304,L4N4,7,L4N4 s7,0.2617950439453125,0.18390466804380995,0.2669865535328786,0.29173894666538175,False
abs_energy_error,7140304,L4N4,42,L4N4 s42,0.3068008422851562,0.18831727622949984,0.2736557746567752,0.43296570739009954,False
abs_energy_error,7140304,L4N4,1776,L4N4 s1776,0.2332077026367187,0.18196098293097457,0.4122309731652796,0.12431554890757153,False
abs_energy_error,7306805,L3N4,0,L3N4 s0,3.6132125854492183,0.1997303498080699,0.2806366299242564,12.16335243393724,True
abs_energy_error,7306805,L3N4,1,L3N4 s1,3.084360122680664,0.20599446008317174,0.2949561794406318,9.758621324890209,True
abs_energy_error,7306805,L3N4,7,L3N4 s7,1.2774734497070312,0.20470212453629938,0.30088395537312074,3.565398905502979,True
abs_energy_error,7306805,L3N4,42,L3N4 s42,1.6427726745605469,0.265648224465159,10.080732926707148,0.136609556081675,False
abs_energy_error,7306805,L3N4,101,L3N4 s101,1.2612857818603516,0.19947978295959182,0.28335871310257266,3.747214925120012,True
abs_energy_error,7306805,L3N4,202,L3N4 s202,1.5665550231933594,0.23565154646359734,1.184069195510051,1.1240081929134729,False
abs_energy_error,7306805,L3N5,0,L3N5 s0,22.873519897460938,0.27910872991609503,0.36418024682675726,62.04183605348903,True
abs_energy_error,7306805,L3N5,1,L3N5 s1,0.6774463653564453,0.20622627334078425,0.2853231740266558,1.6515310879432394,False
abs_energy_error,7306805,L3N5,2,L3N5 s2,10.843929290771484,0.2711846569232875,0.3596966094728214,29.393506514681427,True
abs_energy_error,7306805,L3N5,3,L3N5 s3,1.5847740173339844,0.21322648383491905,2.6399977202385,0.5195260295054945,False
abs_energy_error,7306805,L3N5,4,L3N5 s4,9.65876579284668,0.2038352158157795,0.2931835987286264,32.24917975641085,True
abs_energy_error,7306805,L3N5,7,L3N5 s7,3.3318748474121094,0.21562233584981877,0.4545444467777628,6.855770725290365,True
abs_energy_error,7306805,L3N5,42,L3N5 s42,1.4338970184326172,0.2081716774016153,0.28944413527122254,4.234756181473294,True
abs_energy_error,7306805,L3N5,1776,L3N5 s1776,6.270428657531738,0.21555212002652696,0.3658846474755826,16.548594151956827,True
abs_energy_error,7306805,L4N3,7,L4N3 s7,2.790569305419922,0.20703997271741972,0.2962906576587127,8.719577434933447,True
abs_energy_error,7306805,L4N3,42,L4N3 s42,4.313201904296875,0.21443938535493218,0.29780571820573154,13.763209597306712,True
abs_energy_error,7306805,L4N3,101,L4N3 s101,2.582935333251953,0.2188547617257631,0.3064262554889219,7.71500656089066,True
abs_energy_error,7306805,L4N3,202,L4N3 s202,0.4930744171142578,0.21289867895157077,0.36873983530476245,0.7598195566018046,False
abs_energy_error,7306805,L4N3,303,L4N3 s303,6.693979263305664,0.21497051230372163,0.30262715640676385,21.409211347488753,True
abs_energy_error,7306805,L4N3,1776,L4N3 s1776,6.350822448730469,0.20889746330198833,0.2988562265460486,20.551437245969897,True
abs_energy_error,7306805,L4N4,0,L4N4 s0,2.5370235443115234,0.183090003550495,0.2584556041364583,9.107690075538887,True
abs_energy_error,7306805,L4N4,7,L4N4 s7,11.410106658935549,0.18390466804380995,0.2669865535328786,42.04781792319464,True
abs_energy_error,7306805,L4N4,42,L4N4 s42,5.581256866455078,0.18831727622949984,0.2736557746567752,19.70701914472485,True
abs_energy_error,7306805,L4N4,1776,L4N4 s1776,5.8486328125,0.18196098293097457,0.4122309731652796,13.746351435114104,True
abs_energy_error,6266598,L3N4,0,L3N4 s0,9.4171142578125,0.1997303498080699,0.2806366299242564,32.844550301549,True
abs_energy_error,6266598,L3N4,1,L3N4 s1,9.95068359375,0.20599446008317174,0.2949561794406318,33.03775208963954,True
abs_energy_error,6266598,L3N4,7,L3N4 s7,7.9329833984375,0.20470212453629938,0.30088395537312074,25.685255514264625,True
abs_energy_error,6266598,L3N4,42,L3N4 s42,9.41552734375,0.265648224465159,10.080732926707148,0.9076601062452342,False
abs_energy_error,6266598,L3N4,101,L3N4 s101,5.6529541015625,0.19947978295959182,0.28335871310257266,19.24583246052791,True
abs_energy_error,6266598,L3N4,202,L3N4 s202,2.4171142578125,0.23565154646359734,1.184069195510051,1.8423439437669122,False
abs_energy_error,6266598,L3N5,0,L3N5 s0,7.0267333984375,0.27910872991609503,0.36418024682675726,18.528255519941176,True
