architecture,seed,run_label,source_file,metric,raw,filtered,n_total,n_shared_hard,n_diagnostic_filtered,n_filtered,filtered_fraction
L3N5,42,L3N5 s42,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed42_task0_per_point.csv,force_mae,0.6043628579591266,0.6041989689571777,80000,1,0,1,1.25e-05
L3N5,42,L3N5 s42,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed42_task0_per_point.csv,force_rmse,1.32551206124052,1.3239194888544696,80000,1,0,1,1.25e-05
L3N5,1776,L3N5 s1776,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1776_task1_per_point.csv,energy_mae,0.21555212002652696,0.2150181607065273,80000,1,1,2,2.5e-05
L3N5,1776,L3N5 s1776,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1776_task1_per_point.csv,energy_mse,0.18033261831157094,0.15712375224980132,80000,1,1,2,2.5e-05
L3N5,1776,L3N5 s1776,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1776_task1_per_point.csv,force_mae,0.653152918197432,0.6169339944602601,80000,1,2,3,3.75e-05
L3N5,1776,L3N5 s1776,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1776_task1_per_point.csv,force_rmse,11.829932355929055,1.3437486926972677,80000,1,2,3,3.75e-05
L4N3,7,L4N3 s7,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed7_task2_per_point.csv,energy_mae,0.20703997271741972,0.2070403336059587,80000,1,0,1,1.25e-05
L4N3,7,L4N3 s7,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed7_task2_per_point.csv,energy_mse,0.13065260676673968,0.13065384313625614,80000,1,0,1,1.25e-05
L4N3,7,L4N3 s7,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed7_task2_per_point.csv,force_mae,0.6039136420403755,0.6039101083993499,80000,1,0,1,1.25e-05
L4N3,7,L4N3 s7,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed7_task2_per_point.csv,force_rmse,1.3104834935712766,1.3104861366740244,80000,1,0,1,1.25e-05
